userId,application,laptop,cpu,gpu,storage,ram,battery
3,Battery Life 2013 - Light,MSI GE60 Apache Pro,Core i7-4700HQ,GTX 860M 2GB GDDR5 + HD 4600,1TB,8GB,49Wh
3,Battery Life 2013 - Light,Acer Aspire V7-482PG-9884,Core i7-4500U,GT 750M 4GB DDR3 + HD 4400,1TB,12GB,53Wh
3,Battery Life 2013 - Light,MSI GT83VR Titan,Core i7-7920HQ,GTX 1080 SLI,1TB,64GB,75Wh
3,Battery Life 2013 - Light,MSI GE75 Raider,Core i9-9880H,UHD 630 + RTX 2080,1TB,32GB,65Wh
3,Battery Life 2013 - Light,MSI GT80 Titan,Core i7-5700HQ,GTX 980M SLI,256GB,16GB,80Wh
3,Battery Life 2013 - Light,Microsoft Surface Book Core i5,Core i5-6300U,HD 520,256GB,8GB,70Wh
3,Battery Life 2013 - Light,HP Spectre Folio,Core i7-8500Y,UHD 615,256GB,16GB,55Wh
3,Battery Life 2013 - Light,Apple 13-inch MacBook Air (Early 2014),Core i5-4260U,HD 5000,256GB,4GB,54Wh
3,Battery Life 2013 - Light,Microsoft Surface Laptop 2,Core i7-8650U,UHD 620,256GB,8GB,47Wh
3,Battery Life 2013 - Light,ASUS Zenbook UX305,Core M-5Y10,HD 5300,256GB,8GB,45Wh
3,Battery Life 2013 - Light,Lenovo Yoga C930,Core i7-8550U,UHD 620,256GB,12GB,60Wh
3,Battery Life 2013 - Light,Acer Aspire S7-393 (Broadwell ULT),Core i7-5500U,HD 5500,256GB,8GB,46Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro 6,Core i5-8250U,Intel UHD 620,256GB,8GB,48Wh
3,Battery Life 2013 - Light,Dell XPS 13 (9343) QHD+,Core i5-5200U,HD 4000,256GB,8GB,52Wh
3,Battery Life 2013 - Light,Acer Aspire R 13,Core i7-5500U,HD 5500,256GB,8GB,50Wh
3,Battery Life 2013 - Light,Acer Aspire S7-392 (Haswell ULT),Core i7-4500U,HD 4400,256GB,8GB,46Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro 2,Core i5-4200U,HD4400,256GB,8GB,42Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro 3,Core i5-4300U,HD4400,256GB,8GB,42Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro 4,Core i5-6300U,HD 520,256GB,8GB,39Wh
3,Battery Life 2013 - Light,Lenovo ThinkPad T450s,Core i5-5300U,HD 5500,256GB,8GB,46Wh
3,Battery Life 2013 - Light,HP ZBook 14,Core i7-4600U,FirePro M4100 1GB GDDR5 + HD 4600,256GB,16GB,50Wh
3,Battery Life 2013 - Light,Lenovo Yoga 3 Pro,Core M-5Y71,HD5300,256GB,8GB,44Wh
3,Battery Life 2013 - Light,Lenovo Yoga 2 Pro,Core i5-4200U,HD4400,256GB,4GB,55Wh
3,Battery Life 2013 - Light,Razer Blade Stealth QHD,Core i7-6500U,HD 520,256GB,8GB,45Wh
3,Battery Life 2013 - Light,Razer Blade 14,Core i7-4702HQ,GTX 765M,256GB,8GB,70Wh
3,Battery Life 2013 - Light,Razer Blade 14 (Early 2015),Core i7-4720HQ,GTX 970M,256GB,16GB,70Wh
3,Battery Life 2013 - Light,Razer Blade 14 (Early 2014),Core i7-4702HQ,GTX 870M,256GB,8GB,70Wh
3,Battery Life 2013 - Light,Dell XPS 12,Core i7-3517U,HD 4000,256GB,8GB,47Wh
3,Battery Life 2013 - Light,AMD Kabini (SSD),A4-5000M,8830M,256GB,4GB,48Wh
3,Battery Life 2013 - Light,Chuwi AeroBook,Intel Core m3-6Y30,Intel HD 515,256GB,8GB,38Wh
3,Battery Life 2013 - Light,Toshiba Kirabook,Core i7-3537U,HD 4000,256GB,8GB,52Wh
3,Battery Life 2013 - Light,Dell XPS 13 (Q1 2013),Core i5-3337U,HD 4000,256GB,8GB,47Wh
3,Battery Life 2013 - Light,Alienware 17,Core i7-4800MQ,GTX 780M,256GB,16GB,87Wh
3,Battery Life 2013 - Light,Acer Aspire S7-391-9886,Core i7-3517U,HD 4000,256GB,6GB,36Wh
3,Battery Life 2013 - Light,ASUS G751JY,Core i7-4720HQ,GTX 980M,256GB,24GB,90Wh
3,Battery Life 2013 - Light,ASUS GL502VS,Core i7-6700HQ,GTX 1070,256GB,16GB,62Wh
3,Battery Life 2013 - Light,Clevo P870DM2 (Mythlogic Phobos 8716),Core i7-6700K,GTX 1080 8GB,256GB,16GB,82Wh
3,Battery Life 2013 - Light,iBuyPower M1771 (MSI GS70),Core i7-4700HQ,GTX 765M,256GB,16GB,64Wh
3,Battery Life 2013 - Light,Clevo P750ZM,Core i7-4790K,GTX 980M 8GB,256GB,16GB,82Wh
3,Battery Life 2013 - Light,MSI GS60 2PE Ghost Pro 3K,Core i7-4710HQ,GTX 870M 3GB GDDR5 + HD 4600,256GB,16GB,52Wh
3,Battery Life 2013 - Light,ASUS Zenbook UX51VZ,Core i7-3612QM,GT650M + HD4000,2x128GBGB,8GB,72Wh
3,Battery Life 2013 - Light,Acer Predator Triton 500,Core i7-8750H,RTX 2080 Max-Q,1,32GB,84Wh
3,Battery Life 2013 - Light,MSI GT70 Dragon,Core i7-4700MQ,GTX 780M,3x128GB,32GB,87Wh
3,Battery Life 2013 - Light,Clevo W740SU (AVADirect),Core i7-4750HQ,Iris Pro 5200,480GB,8GB,53Wh
3,Battery Life 2013 - Light,Acer Aspire R7-571-6858,Core i5-3337U,HD 4000,500GB,6GB,53Wh
3,Battery Life 2013 - Light,HP Spectre XT TouchSmart,Core i7-3517U,HD 4000,500GB,8GB,48Wh
3,Battery Life 2013 - Light,Alienware 18,Core i7-4900MQ,GTX 780M SLI,500GB,32GB,87Wh
3,Battery Life 2013 - Light,Lenovo ThinkPad A285,Ryzen 5 Pro 2500U,Vega 8,512,8GB,48Wh
3,Battery Life 2013 - Light,Dell XPS 15 (9530),Core i7-4702HQ,GT 750M 4GB GDDR5 + HD 4600,512GB,16GB,91Wh
3,Battery Life 2013 - Light,Huawei MateBook X Pro,Core i7-8550U,UHD630 + MX150,512GB,16GB,57Wh
3,Battery Life 2013 - Light,ASUS ZenBook 3 UX490UA,Core i7-8550U,HD620,512GB,16GB,46Wh
3,Battery Life 2013 - Light,Lenovo ThinkPad P70,Xeon E3-1505M,M4000M,512GB,16GB,96Wh
3,Battery Life 2013 - Light,Lenovo ThinkPad X1 Carbon (2015),Core i7-5600U,Intel HD 5500,512GB,8GB,50Wh
3,Battery Life 2013 - Light,Dell XPS 13 2-in-1 (7390),Core i7-1065G7,Iris Plus Graphics,512GB,16GB,50Wh
3,Battery Life 2013 - Light,Dell Latitude 13 7390 2-in-1,Core i7-8650U,UHD 620,512GB,16GB,60Wh
3,Battery Life 2013 - Light,Microsoft Surface Book Core i7,Core i7-6600U,HD 520 + GT 940M,512GB,16GB,70Wh
3,Battery Life 2013 - Light,Dell XPS 15 (9560),Core i7-7700HQ,HD 630 + GTX 1050,512GB,16GB,97Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro (2017),Core i7-7660U,Intel Iris Plus 640,512GB,16GB,45Wh
3,Battery Life 2013 - Light,Lenovo ThinkPad X1 Yoga,Core i7-6500U,HD 520,512GB,8GB,52Wh
3,Battery Life 2013 - Light,Dell XPS 15 (9550),Core i7-6700HQ,HD 530 + GTX 960M,512GB,16GB,84Wh
3,Battery Life 2013 - Light,HP Envy 13,Core i7-8565U,MX250,512GB,16GB,52Wh
3,Battery Life 2013 - Light,Razer Blade Stealth UHD,Core i7-6500U,HD 520,512GB,8GB,45Wh
3,Battery Life 2013 - Light,Clevo P157SM (Mythlogic Pollux 1613),Core i7-4700MQ,GTX 780M,512GB,8GB,77Wh
3,Battery Life 2013 - Light,Clevo P157SM (Mythlogic Pollux 1613),Core i7-4900MQ,GTX 780M,512GB,8GB,77Wh
3,Battery Life 2013 - Light,Clevo P775TM1-G (Eurocom Sky X7C),Core i9-9900K,RTX 2080,512GB,64GB,80Wh
3,Battery Life 2013 - Light,MSI GT75 Titan,Core i9-8950HK,GTX 1080,512GB,32GB,90Wh
3,Battery Life 2013 - Light,MSI GT72 Dominator Pro,Core i7-4710HQ,GTX 980M 8GB GDDR5,512GB,32GB,87Wh
3,Battery Life 2013 - Light,CyberPower Fangbook,Core i7-3630QM,GTX 675MX,60GB,16GB,87Wh
3,Battery Life 2013 - Light,Microsoft Surface 3,Atom x7-Z8700,Intel HD Graphics,64GB,2GB,28Wh
3,Battery Life 2013 - Light,Chuwi LapBook 12.3,Intel Celeron N3450,Intel HD 500,64GB,6GB,37Wh
3,Battery Life 2013 - Light,Chuwi LapBook 14.1,Intel Celeron N3450,Intel HD 500,64GB,4GB,45Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro 3 (Core i3),Core i3-4020Y,HD4200,64GB,4GB,42Wh
3,Battery Life 2013 - Light,MSI GX60 (Richland),A10-5750M,HD 7970M Enduro,750GB,8GB,86Wh
3,Battery Life 2013 - Light,Dell Venue 11 Pro 7000,Intel Core M-5Y71 1.2 GHz,HD5300,128,8GB,38Wh
3,Battery Life 2013 - Light,Microsoft Surface Go LTE,Pentium Gold 4415Y,HD 615,128GB,8GB,27Wh
3,Battery Life 2013 - Light,Clevo W550EU (Mythlogic),Core i5-3340M,HD 4000,256GB,8GB,62Wh
3,Battery Life 2013 - Light,Acer Swift 3 SF314-42,Ryzen 7 4700U,Vega 7,512GB,8GB,48Wh
3,Battery Life 2013 - Light,Acer Nitro 5 2019,AMD Ryzen 5 2500U,Radeon Vega 8 + RX 560X,256GB,8GB,47Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB,16GB,85Wh
4,Battery Life 2013 - Light Normalized,Clevo P177SM (Eurocom X5),Core i7-4930MX,GTX 780M,120GB,32GB,87Wh
4,Battery Life 2013 - Light Normalized,Dell XPS 13 (9343) FHD,Core i5-5200U,HD 4000,128GB,4GB,52Wh
4,Battery Life 2013 - Light Normalized,Sony VAIO Pro 13,Core i5-4200U,HD 4400,128GB,4GB,37Wh
4,Battery Life 2013 - Light Normalized,Dell Latitude 12 E5250,Core i5-4310U,HD 4400,128GB,8GB,51Wh
4,Battery Life 2013 - Light Normalized,Apple 13-inch MacBook Air (Mid 2013),Core i5-4250U,HD 5000,128GB,4GB,54Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Pro,Core i5-3317U,HD4000,128GB,4GB,42Wh
4,Battery Life 2013 - Light Normalized,MSI GE40,Core i7-4702MQ,GTX 760M,128GB,8GB,65Wh
4,Battery Life 2013 - Light Normalized,Gigabyte P35X v3,Core i7-4710HQ,GTX980M 8GB,128GB,16GB,75Wh
4,Battery Life 2013 - Light Normalized,Lenovo Ideapad Y700,Core i7-6700HQ,GTX 960M,128GB,16GB,60Wh
4,Battery Life 2013 - Light Normalized,Lenovo ThinkPad X1 Carbon,Core i5-3427U,HD 4000,180GB,4GB,45Wh
4,Battery Life 2013 - Light Normalized,HP EliteBook Folio 9470m,Core i5-3427U,HD 4000,180GB,4GB,52Wh
4,Battery Life 2013 - Light Normalized,MSI GE60 Apache Pro,Core i7-4700HQ,GTX 860M 2GB GDDR5 + HD 4600,1TB,8GB,49Wh
4,Battery Life 2013 - Light Normalized,MSI GT70 GTX 880M Edition,Core i7-4800MQ,GTX 880M 8GB GDDR5 + HD 4600,1TB,12GB,87Wh
4,Battery Life 2013 - Light Normalized,Acer Aspire V7-482PG-9884,Core i7-4500U,GT 750M 4GB DDR3 + HD 4400,1TB,12GB,53Wh
4,Battery Life 2013 - Light Normalized,MSI GT83VR Titan,Core i7-7920HQ,GTX 1080 SLI,1TB,64GB,75Wh
4,Battery Life 2013 - Light Normalized,MSI GE75 Raider,Core i9-9880H,UHD 630 + RTX 2080,1TB,32GB,65Wh
4,Battery Life 2013 - Light Normalized,MSI GT80 Titan,Core i7-5700HQ,GTX 980M SLI,256GB,16GB,80Wh
4,Battery Life 2013 - Light Normalized,HP Spectre Folio,Core i7-8500Y,UHD 615,256GB,16GB,55Wh
4,Battery Life 2013 - Light Normalized,ASUS Zenbook UX305,Core M-5Y10,HD 5300,256GB,8GB,45Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Laptop 2,Core i7-8650U,UHD 620,256GB,8GB,47Wh
4,Battery Life 2013 - Light Normalized,Acer Aspire S7-393 (Broadwell ULT),Core i7-5500U,HD 5500,256GB,8GB,46Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Pro 6,Core i5-8250U,Intel UHD 620,256GB,8GB,48Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Book Core i5,Core i5-6300U,HD 520,256GB,8GB,70Wh
4,Battery Life 2013 - Light Normalized,Apple 13-inch MacBook Air (Early 2014),Core i5-4260U,HD 5000,256GB,4GB,54Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Pro 4,Core i5-6300U,HD 520,256GB,8GB,39Wh
4,Battery Life 2013 - Light Normalized,Acer Aspire R 13,Core i7-5500U,HD 5500,256GB,8GB,50Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Pro 2,Core i5-4200U,HD4400,256GB,8GB,42Wh
4,Battery Life 2013 - Light Normalized,Acer Aspire S7-392 (Haswell ULT),Core i7-4500U,HD 4400,256GB,8GB,46Wh
4,Battery Life 2013 - Light Normalized,Microsoft Surface Pro 3,Core i5-4300U,HD4400,256GB,8GB,42Wh
4,Battery Life 2013 - Light Normalized,Dell XPS 13 (9343) QHD+,Core i5-5200U,HD 4000,256GB,8GB,52Wh
4,Battery Life 2013 - Light Normalized,Lenovo Yoga C930,Core i7-8550U,UHD 620,256GB,12GB,60Wh
4,Battery Life 2013 - Light Normalized,Lenovo Yoga 3 Pro,Core M-5Y71,HD5300,256GB,8GB,44Wh
4,Battery Life 2013 - Light Normalized,Lenovo ThinkPad T450s,Core i5-5300U,HD 5500,256GB,8GB,46Wh
4,Battery Life 2013 - Light Normalized,HP ZBook 14,Core i7-4600U,FirePro M4100 1GB GDDR5 + HD 4600,256GB,16GB,50Wh
4,Battery Life 2013 - Light Normalized,Razer Blade Stealth QHD,Core i7-6500U,HD 520,256GB,8GB,45Wh
4,Battery Life 2013 - Light Normalized,Chuwi AeroBook,Intel Core m3-6Y30,Intel HD 515,256GB,8GB,38Wh
4,Battery Life 2013 - Light Normalized,Lenovo Yoga 2 Pro,Core i5-4200U,HD4400,256GB,4GB,55Wh
4,Battery Life 2013 - Light Normalized,AMD Kabini (SSD),A4-5000M,8830M,256GB,4GB,48Wh
4,Battery Life 2013 - Light Normalized,Acer Aspire S7-391-9886,Core i7-3517U,HD 4000,256GB,6GB,36Wh
4,Battery Life 2013 - Light Normalized,Dell XPS 12,Core i7-3517U,HD 4000,256GB,8GB,47Wh
4,Battery Life 2013 - Light Normalized,Dell XPS 13 (Q1 2013),Core i5-3337U,HD 4000,256GB,8GB,47Wh
4,Battery Life 2013 - Light Normalized,Toshiba Kirabook,Core i7-3537U,HD 4000,256GB,8GB,52Wh
4,Battery Life 2013 - Light Normalized,Razer Blade 14,Core i7-4702HQ,GTX 765M,256GB,8GB,70Wh
4,Battery Life 2013 - Light Normalized,Razer Blade 14 (Early 2015),Core i7-4720HQ,GTX 970M,256GB,16GB,70Wh
4,Battery Life 2013 - Light Normalized,Razer Blade 14 (Early 2014),Core i7-4702HQ,GTX 870M,256GB,8GB,70Wh
4,Battery Life 2013 - Light Normalized,ASUS GL502VS,Core i7-6700HQ,GTX 1070,256GB,16GB,62Wh
4,Battery Life 2013 - Light Normalized,Alienware 17,Core i7-4800MQ,GTX 780M,256GB,16GB,87Wh
4,Battery Life 2013 - Light Normalized,iBuyPower M1771 (MSI GS70),Core i7-4700HQ,GTX 765M,256GB,16GB,64Wh
4,Battery Life 2013 - Light Normalized,ASUS G751JY,Core i7-4720HQ,GTX 980M,256GB,24GB,90Wh
4,Battery Life 2013 - Light Normalized,Clevo P870DM2 (Mythlogic Phobos 8716),Core i7-6700K,GTX 1080 8GB,256GB,16GB,82Wh
4,Battery Life 2013 - Light Normalized,Clevo P750ZM,Core i7-4790K,GTX 980M 8GB,256GB,16GB,82Wh
4,Battery Life 2013 - Light Normalized,MSI GS60 2PE Ghost Pro 3K,Core i7-4710HQ,GTX 870M 3GB GDDR5 + HD 4600,256GB,16GB,52Wh
4,Battery Life 2013 - Light Normalized,ASUS Zenbook UX51VZ,Core i7-3612QM,GT650M + HD4000,2x128GBGB,8GB,72Wh
4,Battery Life 2013 - Light Normalized,Acer Predator Triton 500,Core i7-8750H,RTX 2080 Max-Q,1,32GB,84Wh
4,Battery Life 2013 - Light Normalized,MSI GT70 Dragon,Core i7-4700MQ,GTX 780M,3x128GB,32GB,87Wh
4,Battery Life 2013 - Light Normalized,Clevo W740SU (AVADirect),Core i7-4750HQ,Iris Pro 5200,480GB,8GB,53Wh
